i A C G T a c g t  
30 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
29 4.260e-01 2.740e-01 3.750e-01 3.840e-01 2.850e-01 7.800e-02 2.980e-01 2.920e-01 
28 7.018e-02 9.593e-02 8.799e-02 9.237e-02 1.648e-02 2.373e-02 1.968e-02 1.913e-02 
27 9.253e-03 1.553e-02 9.715e-03 1.498e-02 4.201e-03 5.961e-03 4.163e-03 5.770e-03 
26 4.017e-03 5.477e-03 5.027e-03 5.275e-03 1.246e-03 1.800e-03 1.490e-03 1.449e-03 
25 1.409e-03 1.924e-03 1.765e-03 1.853e-03 3.783e-04 5.457e-04 4.521e-04 4.395e-04 
24 1.870e-04 3.130e-04 1.962e-04 3.018e-04 9.582e-05 1.363e-04 9.494e-05 1.319e-04 
23 3.138e-05 2.969e-05 2.782e-05 1.249e-05 2.897e-05 3.108e-05 2.399e-05 1.719e-05 
22 8.171e-06 1.096e-05 1.010e-05 1.058e-05 6.368e-06 9.259e-06 7.643e-06 7.425e-06 
21 2.961e-06 3.992e-06 3.674e-06 3.849e-06 1.902e-06 2.763e-06 2.282e-06 2.217e-06 
20 5.065e-07 4.799e-07 4.503e-07 2.075e-07 5.734e-07 6.152e-07 4.744e-07 3.394e-07 
19 1.349e-07 1.800e-07 1.661e-07 1.737e-07 1.258e-07 1.830e-07 1.510e-07 1.467e-07 
18 2.017e-08 3.199e-08 2.104e-08 3.094e-08 3.087e-08 4.437e-08 3.058e-08 4.290e-08 
17 3.899e-09 3.717e-09 3.515e-09 1.861e-09 9.235e-09 9.915e-09 7.630e-09 5.438e-09 
16 8.352e-10 8.001e-10 7.611e-10 4.414e-10 2.757e-09 2.960e-09 2.277e-09 1.621e-09 
15 1.984e-10 1.909e-10 1.825e-10 1.140e-10 8.224e-10 8.830e-10 6.790e-10 4.832e-10 
14 5.131e-11 4.952e-11 4.754e-11 3.127e-11 2.452e-10 2.632e-10 2.024e-10 1.440e-10 
13 1.891e-11 2.357e-11 2.213e-11 2.292e-11 5.343e-11 7.791e-11 6.422e-11 6.238e-11 
12 1.048e-11 7.116e-12 9.352e-12 9.551e-12 1.820e-11 4.904e-12 1.903e-11 1.865e-11 
11 4.226e-12 2.804e-12 3.749e-12 3.833e-12 5.400e-12 1.460e-12 5.648e-12 5.534e-12 
10 7.348e-13 9.984e-13 9.171e-13 9.620e-13 3.027e-13 4.386e-13 3.626e-13 3.524e-13 
9 1.002e-13 1.656e-13 1.050e-13 1.598e-13 7.553e-14 1.079e-13 7.482e-14 1.044e-13 
8 4.398e-14 2.802e-14 3.862e-14 3.957e-14 2.140e-14 5.912e-15 2.237e-14 2.192e-14 
7 7.124e-15 9.758e-15 8.945e-15 9.393e-15 1.267e-15 1.817e-15 1.510e-15 1.468e-15 
6 2.475e-15 3.392e-15 3.109e-15 3.265e-15 3.923e-16 5.613e-16 4.668e-16 4.541e-16 
5 3.216e-16 5.436e-16 3.379e-16 5.240e-16 1.024e-16 1.442e-16 1.015e-16 1.396e-16 
4 5.327e-17 8.891e-17 5.589e-17 8.576e-17 3.028e-17 4.313e-17 3.000e-17 4.173e-17 
3 2.316e-17 1.467e-17 2.031e-17 2.082e-17 8.616e-18 2.405e-18 9.006e-18 8.826e-18 
2 3.712e-18 5.091e-18 4.666e-18 4.900e-18 5.237e-19 7.473e-19 6.223e-19 6.054e-19 
1 1.286e-18 1.765e-18 1.617e-18 1.699e-18 1.641e-19 2.336e-19 1.947e-19 1.895e-19
