v A C G T a c g t
1 0.000e+00 0.000e+00 0.000e+00 1.250e-01 0.000e+00 0.000e+00 0.000e+00 1.250e-01 
2 0.000e+00 4.156e-02 0.000e+00 0.000e+00 0.000e+00 3.269e-02 0.000e+00 0.000e+00 
3 0.000e+00 1.434e-02 0.000e+00 0.000e+00 0.000e+00 1.070e-02 0.000e+00 0.000e+00 
4 0.000e+00 0.000e+00 3.597e-03 0.000e+00 0.000e+00 0.000e+00 1.166e-03 0.000e+00 
5 0.000e+00 0.000e+00 0.000e+00 3.626e-04 0.000e+00 0.000e+00 0.000e+00 3.296e-04 
6 0.000e+00 0.000e+00 0.000e+00 5.775e-05 0.000e+00 0.000e+00 0.000e+00 1.045e-04 
7 0.000e+00 1.932e-05 0.000e+00 0.000e+00 0.000e+00 2.615e-05 0.000e+00 0.000e+00 
8 0.000e+00 6.692e-06 0.000e+00 0.000e+00 0.000e+00 8.211e-06 0.000e+00 0.000e+00 
9 0.000e+00 0.000e+00 1.687e-06 0.000e+00 0.000e+00 0.000e+00 7.872e-07 0.000e+00 
10 0.000e+00 0.000e+00 0.000e+00 1.706e-07 0.000e+00 0.000e+00 0.000e+00 2.039e-07 
11 0.000e+00 5.682e-08 0.000e+00 0.000e+00 0.000e+00 5.250e-08 0.000e+00 0.000e+00 
12 0.000e+00 0.000e+00 1.428e-08 0.000e+00 0.000e+00 0.000e+00 5.384e-09 0.000e+00 
13 0.000e+00 0.000e+00 5.012e-09 0.000e+00 0.000e+00 0.000e+00 1.948e-09 0.000e+00 
14 0.000e+00 1.579e-09 0.000e+00 0.000e+00 0.000e+00 5.996e-10 0.000e+00 0.000e+00 
15 2.320e-10 0.000e+00 0.000e+00 0.000e+00 2.310e-10 0.000e+00 0.000e+00 0.000e+00 
16 3.653e-11 0.000e+00 0.000e+00 0.000e+00 7.454e-11 0.000e+00 0.000e+00 0.000e+00 
17 5.849e-12 0.000e+00 0.000e+00 0.000e+00 2.309e-11 0.000e+00 0.000e+00 0.000e+00 
18 9.643e-13 0.000e+00 0.000e+00 0.000e+00 7.015e-12 0.000e+00 0.000e+00 0.000e+00 
19 0.000e+00 0.000e+00 0.000e+00 1.091e-13 0.000e+00 0.000e+00 0.000e+00 1.480e-12 
20 0.000e+00 3.972e-14 0.000e+00 0.000e+00 0.000e+00 3.527e-13 0.000e+00 0.000e+00 
21 6.680e-15 0.000e+00 0.000e+00 0.000e+00 1.137e-13 0.000e+00 0.000e+00 0.000e+00 
22 0.000e+00 1.948e-15 0.000e+00 0.000e+00 0.000e+00 2.319e-14 0.000e+00 0.000e+00 
23 0.000e+00 7.260e-16 0.000e+00 0.000e+00 0.000e+00 6.900e-15 0.000e+00 0.000e+00 
24 1.232e-16 0.000e+00 0.000e+00 0.000e+00 2.223e-15 0.000e+00 0.000e+00 0.000e+00 
25 0.000e+00 0.000e+00 0.000e+00 1.726e-17 0.000e+00 0.000e+00 0.000e+00 4.643e-16 
26 0.000e+00 6.858e-18 0.000e+00 0.000e+00 0.000e+00 1.102e-16 0.000e+00 0.000e+00 
27 0.000e+00 2.628e-18 0.000e+00 0.000e+00 0.000e+00 3.275e-17 0.000e+00 0.000e+00 
28 0.000e+00 0.000e+00 0.000e+00 5.102e-19 0.000e+00 0.000e+00 0.000e+00 9.873e-18 
29 0.000e+00 1.931e-19 0.000e+00 0.000e+00 0.000e+00 2.348e-18 0.000e+00 0.000e+00 
30 0.000e+00 0.000e+00 5.394e-20 0.000e+00 0.000e+00 0.000e+00 1.821e-19 0.000e+00 
